Date,Num_Children,Food_Remaining,Daily_Need,Food_Used,Donation_Amount,Expense_Total,Budget_Left,Food_Shortage,Suggested_Purchase,Quantity_To_Buy,Estimated_Cost,Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child,Cost_Per_Child,Food_Shortage_Per_Child,Remaining_Days_Covered,Emergency_Flag,Medical_Flag,High_Utility_Cost,Daily_Status
2015-10-16,60,17,60,17,29263,41853,-12590,43,Rice,43,71337,Water Shortage,None,0,Gas,42201,6,Check food/donations,0.28,487.72,-209.83,1400.9,0.72,0.28,1,0,1,Warning
2019-12-05,60,111,60,70,11739,20743,-9004,0,None,0,0,None,None,0,Internet,17821,8,Check food/donations,1.17,195.65,-150.07,642.73,0.0,1.85,0,0,0,Critical
2018-07-22,96,119,96,18,147742,98144,49598,0,None,0,0,None,None,0,Electricity,54880,8,Stable,0.19,1538.98,516.65,1594.0,0.0,1.24,0,0,1,Good
2017-06-12,45,31,45,31,162144,15690,146454,14,Rice,14,34272,None,None,0,Internet,27883,7,Check food/donations,0.69,3603.2,3254.53,968.29,0.31,0.69,0,0,0,Warning
2016-10-23,46,90,46,57,86637,104892,-18255,0,None,0,0,Power Outage,Malaria,34697,Electricity,58387,9,Check food/donations,1.24,1883.41,-396.85,4303.83,0.0,1.96,1,1,1,Warning
2023-01-03,54,58,54,34,89806,29466,60340,0,None,0,0,None,None,0,Electricity,46652,6,Stable,0.63,1663.07,1117.41,1409.59,0.0,1.07,0,0,1,Good
2017-10-27,73,101,73,24,194976,109436,85540,0,None,0,0,None,Flu,21372,Electricity,55619,9,Stable,0.33,2670.9,1171.78,2553.79,0.0,1.38,0,1,1,Warning
2021-09-16,51,112,51,44,184102,42671,141431,0,None,0,0,None,Diarrhea,17054,Electricity,18809,10,Stable,0.86,3609.84,2773.16,1539.88,0.0,2.2,0,1,0,Warning
2017-01-23,20,25,20,25,133571,143473,-9902,0,None,0,0,Water Shortage,None,0,Electricity,26866,3,Check food/donations,1.25,6678.55,-495.1,8516.95,0.0,1.25,1,0,0,Warning
2016-05-29,75,22,75,22,134834,79086,55748,53,Beans,53,88934,Power Outage,None,0,Water,37114,9,Check food/donations,0.29,1797.79,743.31,1549.33,0.71,0.29,1,0,0,Warning
2021-04-01,31,24,31,24,190744,33871,156873,7,Vegetables,7,14042,None,None,0,Gas,49038,7,Check food/donations,0.77,6153.03,5060.42,2674.48,0.23,0.77,0,0,1,Warning
2019-05-10,29,25,29,10,111087,111401,-314,4,Maize Flour,4,9512,None,None,0,Water,37283,7,Check food/donations,0.34,3830.59,-10.83,5127.03,0.14,0.86,0,0,0,Critical
2017-11-06,96,42,96,5,170674,64031,106643,54,Maize Flour,54,102816,Fire,None,0,Internet,16628,6,Check food/donations,0.05,1777.85,1110.86,840.2,0.56,0.44,1,0,0,Warning
2016-11-07,43,89,43,5,130674,128186,2488,0,None,0,0,Sickness,Malaria,32601,Electricity,50111,9,Stable,0.12,3038.93,57.86,4904.6,0.0,2.07,1,1,1,Warning
2019-12-21,46,40,46,40,148808,54878,93930,6,Beans,6,11544,None,None,0,Water,25922,9,Check food/donations,0.87,3234.96,2041.96,1756.52,0.13,0.87,0,0,0,Warning
2022-06-22,83,78,83,75,145403,15373,130030,5,Rice,5,11240,None,None,0,Electricity,45814,8,Check food/donations,0.9,1751.84,1566.63,737.19,0.06,0.94,0,0,1,Critical
2021-10-29,94,102,94,46,186359,58385,127974,0,None,0,0,None,None,0,Water,48528,4,Stable,0.49,1982.54,1361.43,1137.37,0.0,1.09,0,0,1,Good
2021-04-26,77,103,77,54,3291,144456,-141165,0,None,0,0,Fire,None,0,Water,54481,6,Check food/donations,0.7,42.74,-1833.31,2583.6,0.0,1.34,1,0,1,Warning
2018-04-26,67,24,67,24,20887,68449,-47562,43,Vegetables,43,70520,None,Diarrhea,24043,Internet,39267,8,Check food/donations,0.36,311.75,-709.88,1966.55,0.64,0.36,0,1,0,Warning
2024-02-11,22,97,22,62,75754,114664,-38910,0,None,0,0,Sickness,Flu,18874,Water,17400,9,Check food/donations,2.82,3443.36,-1768.64,6860.82,0.0,4.41,1,1,0,Warning
2020-11-19,42,102,42,45,78900,27568,51332,0,None,0,0,None,None,0,Gas,41180,8,Stable,1.07,1878.57,1222.19,1636.86,0.0,2.43,0,0,1,Good
2011-02-05,49,114,49,30,167399,20429,146970,0,None,0,0,None,None,0,Gas,49379,10,Stable,0.61,3416.31,2999.39,1424.65,0.0,2.33,0,0,1,Good
2010-07-14,55,55,55,55,18958,47718,-28760,0,None,0,0,Power Outage,Fever,2737,Gas,22235,6,Check food/donations,1.0,344.69,-522.91,1321.64,0.0,1.0,1,1,0,Warning
2020-12-12,54,91,54,50,19972,59733,-39761,0,None,0,0,Power Outage,None,0,Electricity,48569,5,Check food/donations,0.93,369.85,-736.31,2005.59,0.0,1.69,1,0,1,Warning
2020-02-17,26,19,26,19,43703,91486,-47783,7,Beans,7,12348,None,None,0,Electricity,54129,8,Check food/donations,0.73,1680.88,-1837.81,5600.58,0.27,0.73,0,0,1,Warning
2014-11-04,68,55,68,52,24862,63757,-38895,13,Beans,13,24271,Water Shortage,Fever,13838,Internet,34643,5,Check food/donations,0.76,365.62,-571.99,1650.56,0.19,0.81,1,1,0,Warning
2023-11-21,82,38,82,21,154423,32623,121800,44,Vegetables,44,101376,Water Shortage,Malaria,15098,Electricity,54835,6,Check food/donations,0.26,1883.21,1485.37,1250.68,0.54,0.46,1,1,1,Warning
2018-12-31,43,51,43,34,108573,89162,19411,0,None,0,0,None,Malaria,11191,Water,47268,5,Stable,0.79,2524.95,451.42,3433.05,0.0,1.19,0,1,1,Warning
2019-10-06,65,21,65,21,91866,20369,71497,44,Vegetables,44,70356,Power Outage,None,0,Gas,31117,7,Check food/donations,0.32,1413.32,1099.95,792.09,0.68,0.32,1,0,0,Warning
2010-09-28,100,43,100,43,122285,68046,54239,57,Beans,57,90801,Water Shortage,None,0,Electricity,43141,4,Check food/donations,0.43,1222.85,542.39,1111.87,0.57,0.43,1,0,1,Warning
2019-02-24,49,39,49,24,114067,44267,69800,10,Maize Flour,10,18140,None,None,0,Electricity,43069,3,Check food/donations,0.49,2327.9,1424.49,1782.37,0.2,0.8,0,0,1,Warning
2023-06-16,33,117,33,5,191454,139969,51485,0,None,0,0,None,None,0,Electricity,58359,4,Stable,0.15,5801.64,1560.15,6009.94,0.0,3.55,0,0,1,Good
2018-11-07,65,44,65,44,21084,97768,-76684,21,Rice,21,49791,Power Outage,None,0,Electricity,30199,3,Check food/donations,0.68,324.37,-1179.75,1968.72,0.32,0.68,1,0,0,Warning
2017-04-09,97,8,97,8,122031,102624,19407,89,Vegetables,89,178712,None,None,0,Electricity,59522,5,Check food/donations,0.08,1258.05,200.07,1671.61,0.92,0.08,0,0,1,Warning
2024-10-20,66,95,66,77,33647,67641,-33994,0,None,0,0,Power Outage,None,0,Internet,23229,8,Check food/donations,1.17,509.8,-515.06,1376.82,0.0,1.44,1,0,0,Warning
