Date,Num_Children,Food_Remaining,Daily_Need,Food_Used,Donation_Amount,Expense_Total,Budget_Left,Food_Shortage,Suggested_Purchase,Quantity_To_Buy,Estimated_Cost,Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child,Cost_Per_Child,Food_Shortage_Per_Child,Remaining_Days_Covered,Emergency_Flag,Medical_Flag,High_Utility_Cost,Daily_Status
2011-07-05,71,10,71,10,25753,96555,-70802,61,Rice,61,142374,Sickness,None,0,Gas,29520,5,Check food/donations,0.14,362.72,-997.21,1775.7,0.86,0.14,1,0,0,Warning
2021-01-18,54,106,54,59,171024,149020,22004,0,None,0,0,None,None,0,Electricity,52191,9,Stable,1.09,3167.11,407.48,3726.13,0.0,1.96,0,0,1,Critical
2024-06-09,90,8,90,8,38733,104684,-65951,82,Beans,82,203032,Power Outage,None,0,Gas,25082,7,Check food/donations,0.09,430.37,-732.79,1441.84,0.91,0.09,1,0,0,Warning
2024-05-26,42,101,42,26,151239,43105,108134,0,None,0,0,None,None,0,Water,38894,7,Stable,0.62,3600.93,2574.62,1952.36,0.0,2.4,0,0,0,Good
2024-10-14,86,80,86,14,6102,71254,-65152,6,Rice,6,9288,Sickness,Flu,16209,Internet,48205,7,Check food/donations,0.16,70.95,-757.58,1577.53,0.07,0.93,1,1,1,Warning
2021-06-04,80,26,80,26,141290,61913,79377,54,Maize Flour,54,127926,None,None,0,Internet,36815,3,Check food/donations,0.33,1766.12,992.21,1234.1,0.68,0.33,0,0,0,Warning
2017-09-10,79,67,79,67,35062,89407,-54345,12,Maize Flour,12,25320,None,Flu,15085,Internet,35232,3,Check food/donations,0.85,443.82,-687.91,1768.66,0.15,0.85,0,1,0,Warning
2011-11-09,98,87,98,34,134398,105204,29194,11,Beans,11,26686,None,Malaria,25332,Gas,15347,10,Check food/donations,0.35,1371.41,297.9,1488.6,0.11,0.89,0,1,0,Warning
2014-01-16,31,13,31,13,15312,114050,-98738,18,Vegetables,18,38646,Power Outage,Diarrhea,21284,Electricity,46032,9,Check food/donations,0.42,493.94,-3185.1,5850.52,0.58,0.42,1,1,1,Warning
2022-04-21,27,27,27,25,13692,84430,-70738,0,None,0,0,None,Malaria,14637,Internet,48673,9,Check food/donations,0.93,507.11,-2619.93,5471.85,0.0,1.0,0,1,1,Warning
2022-03-21,67,58,67,8,115426,136930,-21504,9,Rice,9,19746,Power Outage,None,0,Gas,52201,6,Check food/donations,0.12,1722.78,-320.96,2822.85,0.13,0.87,1,0,1,Warning
2019-09-06,93,96,93,49,121460,127029,-5569,0,None,0,0,None,None,0,Gas,54302,5,Check food/donations,0.53,1306.02,-59.88,1949.8,0.0,1.03,0,0,1,Critical
2017-11-11,23,8,23,8,88979,27839,61140,15,Rice,15,32175,Fire,Diarrhea,27355,Electricity,36695,3,Check food/donations,0.35,3868.65,2658.26,3995.17,0.65,0.35,1,1,0,Warning
