Date,Num_Children,Food_Remaining (kg),Daily_Need (kg),Food_Used (kg),Donation_Amount (Tsh),Expense_Total (Tsh),Budget_Left (Tsh),Food_Shortage (kg),Suggested_Purchase,Quantity_To_Buy,Estimated_Cost (Tsh),Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child
2005-10-30,49,82,49,22,81123,24596,56527,0,None,0,0,None,Flu,29408,Gas,29373,7,Stable,0.45,1655.57,1153.61
2003-04-14,74,85,74,21,139383,31355,108028,0,None,0,0,None,None,0,Water,27438,3,Stable,0.28,1883.55,1459.84
2013-07-02,28,67,28,11,30963,70082,-39119,0,None,0,0,None,Flu,22950,Internet,18268,4,Check food/donations,0.39,1105.82,-1397.11
2017-01-04,24,20,24,17,41468,40484,984,4,Beans,4,7448,None,Fever,10463,Gas,36166,8,Check food/donations,0.71,1727.83,41.0
1999-04-06,32,37,32,28,29435,99500,-70065,0,None,0,0,Sickness,Fever,15384,Electricity,39356,7,Check food/donations,0.88,919.84,-2189.53
2000-04-30,52,80,52,31,136717,88570,48147,0,None,0,0,None,Diarrhea,1399,Gas,34265,10,Stable,0.6,2629.17,925.9
2019-03-17,94,23,94,15,31986,81911,-49925,71,Beans,71,113245,None,Diarrhea,6404,Water,33917,10,Check food/donations,0.16,340.28,-531.12
1999-06-25,50,84,50,22,77669,32945,44724,0,None,0,0,None,Malaria,25111,Water,36494,5,Stable,0.44,1553.38,894.48
2011-08-07,69,57,69,16,75040,106875,-31835,12,Maize Flour,12,19776,None,Malaria,28154,Internet,24776,7,Check food/donations,0.23,1087.54,-461.38
2001-04-25,55,49,55,19,13445,91722,-78277,6,Rice,6,10632,Fire,Diarrhea,22085,Internet,38841,3,Check food/donations,0.35,244.45,-1423.22
2018-06-01,89,63,89,16,121384,51624,69760,26,Beans,26,50934,Water Shortage,None,0,Gas,17480,10,Check food/donations,0.18,1363.87,783.82
2002-09-08,63,47,63,18,24903,28715,-3812,16,Beans,16,30528,Power Outage,Flu,15509,Electricity,49707,9,Check food/donations,0.29,395.29,-60.51
2015-12-28,45,21,45,8,134891,48496,86395,24,Rice,24,43320,None,Fever,20425,Gas,12932,3,Check food/donations,0.18,2997.58,1919.89
2015-09-13,37,39,37,6,85188,54452,30736,0,None,0,0,None,Diarrhea,20190,Electricity,23656,8,Stable,0.16,2302.38,830.7
2019-07-31,51,70,51,17,83166,43553,39613,0,None,0,0,None,Flu,6356,Gas,45898,6,Stable,0.33,1630.71,776.73
2016-01-27,24,61,24,16,37424,52884,-15460,0,None,0,0,Fire,Fever,23057,Electricity,24107,6,Check food/donations,0.67,1559.33,-644.17
2007-12-29,71,72,71,26,58437,20969,37468,0,None,0,0,None,Fever,2812,Gas,40416,7,Stable,0.37,823.06,527.72
2012-12-05,49,76,49,26,22071,29536,-7465,0,None,0,0,None,Flu,19401,Gas,36042,5,Check food/donations,0.53,450.43,-152.35
2016-09-17,64,93,64,21,28874,34205,-5331,0,None,0,0,Fire,Malaria,11872,Internet,13219,7,Check food/donations,0.33,451.16,-83.3
2013-01-09,66,48,66,35,12973,57516,-44543,18,Maize Flour,18,31878,Water Shortage,None,0,Water,13351,5,Check food/donations,0.53,196.56,-674.89
2003-04-27,82,31,82,25,141907,45073,96834,51,Maize Flour,51,98889,Power Outage,Flu,27595,Gas,12486,6,Check food/donations,0.3,1730.57,1180.9
2000-07-06,100,36,100,19,99555,81656,17899,64,Beans,64,103296,None,Diarrhea,17573,Electricity,22189,7,Check food/donations,0.19,995.55,178.99
2004-04-09,63,37,63,7,129940,105340,24600,26,Rice,26,41158,Sickness,Diarrhea,3250,Gas,44003,4,Check food/donations,0.11,2062.54,390.48
2000-10-15,66,68,66,23,98129,83978,14151,0,None,0,0,Power Outage,Flu,1231,Electricity,37231,6,Stable,0.35,1486.8,214.41
2017-10-31,34,69,34,39,40798,75959,-35161,0,None,0,0,None,Flu,17134,Internet,31861,3,Check food/donations,1.15,1199.94,-1034.15
2018-06-18,98,96,98,11,50392,110556,-60164,2,Vegetables,2,3242,Power Outage,Diarrhea,20685,Water,29636,3,Check food/donations,0.11,514.2,-613.92
2013-02-11,22,18,22,11,82634,81951,683,4,Beans,4,6412,None,Diarrhea,8827,Internet,17021,5,Check food/donations,0.5,3756.09,31.05
2019-07-22,21,64,21,10,145619,114488,31131,0,None,0,0,Power Outage,Flu,213,Water,33453,4,Stable,0.48,6934.24,1482.43
2000-02-04,60,87,60,23,70413,76074,-5661,0,None,0,0,None,Diarrhea,9660,Water,28229,7,Check food/donations,0.38,1173.55,-94.35
2017-03-28,96,94,96,16,1333,103073,-101740,2,Maize Flour,2,3670,None,Flu,10327,Water,46016,4,Check food/donations,0.17,13.89,-1059.79
2010-01-08,69,11,69,9,133490,20797,112693,58,Rice,58,88450,None,None,0,Water,18101,6,Check food/donations,0.13,1934.64,1633.23
2019-05-04,60,84,60,31,24427,104356,-79929,0,None,0,0,Fire,Malaria,24451,Internet,45900,10,Check food/donations,0.52,407.12,-1332.15
2007-03-12,84,96,84,11,102240,70205,32035,0,None,0,0,None,None,0,Electricity,35058,6,Stable,0.13,1217.14,381.37
2013-04-18,43,18,43,8,58225,25291,32934,25,Rice,25,47400,None,Diarrhea,14158,Electricity,34300,5,Check food/donations,0.19,1354.07,765.91
2013-10-12,96,73,96,6,13547,35742,-22195,23,Beans,23,39813,None,Flu,3046,Gas,45496,7,Check food/donations,0.06,141.11,-231.2
2016-11-20,73,71,73,27,59601,80862,-21261,2,Vegetables,2,3724,None,Flu,19068,Internet,41314,3,Check food/donations,0.37,816.45,-291.25
2007-08-13,43,66,43,31,119846,109302,10544,0,None,0,0,None,Flu,6950,Internet,30556,9,Stable,0.72,2787.12,245.21
2003-04-11,43,88,43,8,6861,37944,-31083,0,None,0,0,None,Diarrhea,23329,Water,43492,8,Check food/donations,0.19,159.56,-722.86
2000-03-16,58,92,58,21,57760,80396,-22636,0,None,0,0,Fire,Diarrhea,14614,Electricity,14858,9,Check food/donations,0.36,995.86,-390.28
2012-01-03,54,76,54,37,58243,82284,-24041,0,None,0,0,None,None,0,Electricity,30262,8,Check food/donations,0.69,1078.57,-445.2
2018-08-30,31,29,31,19,68573,49521,19052,2,Rice,2,3828,None,Malaria,16262,Electricity,29705,7,Check food/donations,0.61,2212.03,614.58
2018-03-22,21,100,21,9,67516,82723,-15207,0,None,0,0,None,Fever,27293,Internet,22885,6,Check food/donations,0.43,3215.05,-724.14
2003-01-30,54,20,54,12,134718,57380,77338,34,Beans,34,65688,Fire,Diarrhea,24045,Internet,12401,5,Check food/donations,0.22,2494.78,1432.19
2000-09-05,51,48,51,13,34346,85768,-51422,3,Maize Flour,3,4971,Power Outage,Fever,25496,Internet,13925,5,Check food/donations,0.25,673.45,-1008.27
2001-06-05,79,25,79,17,70873,102526,-31653,54,Beans,54,84078,Sickness,None,0,Electricity,10577,7,Check food/donations,0.22,897.13,-400.67
2016-07-19,48,16,48,7,6407,53997,-47590,32,Vegetables,32,56448,None,Flu,12112,Water,22514,9,Check food/donations,0.15,133.48,-991.46
2012-04-15,100,58,100,35,52016,70298,-18282,42,Rice,42,81018,None,Flu,4124,Water,19639,6,Check food/donations,0.35,520.16,-182.82
2010-12-25,93,24,93,23,10545,91909,-81364,69,Beans,69,119853,Power Outage,Flu,19293,Gas,19284,4,Check food/donations,0.25,113.39,-874.88
2015-01-26,27,24,27,7,59979,79292,-19313,3,Vegetables,3,4518,Power Outage,Flu,10015,Water,25723,3,Check food/donations,0.26,2221.44,-715.3
2004-05-06,75,83,75,32,136896,24454,112442,0,None,0,0,None,Malaria,29605,Gas,13958,6,Stable,0.43,1825.28,1499.23
2007-06-26,30,12,30,11,27740,42723,-14983,18,Maize Flour,18,30132,Sickness,Fever,9586,Electricity,42045,7,Check food/donations,0.37,924.67,-499.43
2008-07-08,97,14,97,6,54978,64484,-9506,83,Beans,83,162929,None,Flu,4618,Water,21315,6,Check food/donations,0.06,566.78,-98.0
2017-07-17,52,91,52,16,146455,48120,98335,0,None,0,0,Fire,Diarrhea,16192,Electricity,38391,6,Stable,0.31,2816.44,1891.06
2004-12-04,35,23,35,22,56235,91980,-35745,12,Beans,12,22812,None,Diarrhea,2926,Internet,39580,6,Check food/donations,0.63,1606.71,-1021.29
2011-12-06,79,84,79,28,106385,33750,72635,0,None,0,0,None,Fever,28171,Electricity,15051,3,Stable,0.35,1346.65,919.43
2014-10-25,24,89,24,25,39409,74524,-35115,0,None,0,0,None,Fever,5550,Water,10794,7,Check food/donations,1.04,1642.04,-1463.12
2006-05-25,87,27,87,15,60810,107038,-46228,60,Maize Flour,60,109200,Sickness,None,0,Gas,27581,3,Check food/donations,0.17,698.97,-531.36
2018-05-13,88,10,88,7,136127,61823,74304,78,Maize Flour,78,133926,None,None,0,Electricity,45925,5,Check food/donations,0.08,1546.9,844.36
2008-08-01,45,83,45,34,40581,83450,-42869,0,None,0,0,Power Outage,Malaria,28688,Gas,24631,5,Check food/donations,0.76,901.8,-952.64
2014-07-24,72,37,72,8,11718,102160,-90442,35,Beans,35,52745,None,None,0,Water,40034,7,Check food/donations,0.11,162.75,-1256.14
2004-05-05,52,36,52,30,85507,97973,-12466,16,Beans,16,27264,None,None,0,Water,13881,8,Check food/donations,0.58,1644.37,-239.73
2016-06-05,90,56,90,31,29622,25984,3638,34,Vegetables,34,63444,None,Flu,22886,Electricity,13405,9,Check food/donations,0.34,329.13,40.42
2010-03-29,60,26,60,17,4930,83151,-78221,34,Beans,34,56100,None,Malaria,11454,Electricity,40547,5,Check food/donations,0.28,82.17,-1303.68
