Date,Num_Children,Food_Remaining,Daily_Need,Food_Used,Donation_Amount,Expense_Total,Budget_Left,Food_Shortage,Suggested_Purchase,Quantity_To_Buy,Estimated_Cost,Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child,Cost_Per_Child,Food_Shortage_Per_Child,Remaining_Days_Covered,Emergency_Flag,Medical_Flag,High_Utility_Cost
2020-11-10,82,93,82,36,796,69573,-68777,0,None,0,0,None,Flu,14746,Gas,45413,7,Check food/donations,0.44,9.71,-838.74,1582.1,0.0,1.13,0,1,1
2006-08-30,63,97,63,16,63139,104179,-41040,0,None,0,0,None,None,0,Internet,17084,3,Check food/donations,0.25,1002.21,-651.43,1924.81,0.0,1.54,0,0,0
1999-07-22,42,44,42,38,34418,67314,-32896,0,None,0,0,None,Fever,19287,Electricity,30750,8,Check food/donations,0.9,819.48,-783.24,2794.07,0.0,1.05,0,1,1
2007-05-07,59,72,59,20,93440,21973,71467,0,None,0,0,Water Shortage,None,0,Water,35822,4,Stable,0.34,1583.73,1211.31,979.58,0.0,1.22,1,0,1
2005-04-05,21,71,21,28,109661,50756,58905,0,None,0,0,None,None,0,Gas,35478,9,Stable,1.33,5221.95,2805.0,4106.38,0.0,3.38,0,0,1
1999-12-22,79,29,79,23,71932,106669,-34737,50,Beans,50,90150,Fire,Malaria,25520,Gas,14427,10,Check food/donations,0.29,910.53,-439.71,1855.9,0.63,0.37,1,1,0
2008-08-25,24,88,24,22,49089,93591,-44502,0,None,0,0,None,None,0,Electricity,29822,9,Check food/donations,0.92,2045.38,-1854.25,5142.21,0.0,3.67,0,0,0
2014-04-26,80,37,80,11,5725,104825,-99100,43,Vegetables,43,66478,None,Malaria,12504,Electricity,31672,3,Check food/donations,0.14,71.56,-1238.75,1862.51,0.54,0.46,0,1,1
2010-09-12,78,48,78,32,107167,41344,65823,30,Rice,30,48600,None,Diarrhea,2427,Gas,14823,7,Check food/donations,0.41,1373.94,843.88,751.21,0.38,0.62,0,1,0
2001-05-19,59,40,59,20,18139,102717,-84578,19,Rice,19,31578,None,Flu,15113,Internet,10555,5,Check food/donations,0.34,307.44,-1433.53,2176.02,0.32,0.68,0,1,0
2016-07-21,86,69,86,25,21733,95751,-74018,17,Rice,17,29274,None,Diarrhea,29232,Water,12970,3,Check food/donations,0.29,252.71,-860.67,1604.1,0.2,0.8,0,1,0
1999-07-23,60,53,60,29,142996,23337,119659,7,Rice,7,13118,None,Fever,14546,Gas,30812,8,Check food/donations,0.48,2383.27,1994.32,1144.92,0.12,0.88,0,1,1
2016-01-26,21,50,21,27,32056,25438,6618,0,None,0,0,None,None,0,Electricity,32739,4,Stable,1.29,1526.48,315.14,2770.33,0.0,2.38,0,0,1
1999-08-22,85,66,85,40,59564,97583,-38019,19,Vegetables,19,37335,None,Diarrhea,19459,Internet,12760,6,Check food/donations,0.47,700.75,-447.28,1527.08,0.22,0.78,0,1,0
2014-11-11,43,17,43,5,10166,114996,-104830,26,Beans,26,49348,Sickness,None,0,Gas,21408,5,Check food/donations,0.12,236.42,-2437.91,3172.19,0.6,0.4,1,0,0
2020-10-20,46,65,46,39,76853,80995,-4142,0,None,0,0,Power Outage,Fever,26217,Water,19819,7,Check food/donations,0.85,1670.72,-90.04,2761.54,0.0,1.41,1,1,0
